article_name,country,revision_id,population,article_quality
Abdu Katuntu,Uganda,796406864,44.1,Stub
Loyce Biira Bwambale,Uganda,796684047,44.1,Start
Mike Kennedy Sebalu,Uganda,796694225,44.1,Stub
Miria Matembe,Uganda,796695675,44.1,Start
Kalema of Buganda,Uganda,796808819,44.1,Start
Maria Mutagamba,Uganda,796899099,44.1,Start
Sarah Achieng Opendi,Uganda,796991691,44.1,Start
Benedicto Kiwanuka,Uganda,797399615,44.1,Start
Yusuf Lule,Uganda,797449179,44.1,Start
Miria Obote,Uganda,797874277,44.1,Stub
Grace Akello,Uganda,798483499,44.1,Start
Joyce Moriku,Uganda,798506935,44.1,Start
David Karubanga,Uganda,799178559,44.1,Stub
Peter Takirambudde,Uganda,799513148,44.1,Stub
Mustafa Adrisi,Uganda,799651351,44.1,Stub
Rose Namayanja,Uganda,800003733,44.1,C
Timeline of Kampala,Uganda,800090136,44.1,C
Dora Byamukama,Uganda,800350710,44.1,Stub
Kirya Balaki Kebba,Uganda,800452152,44.1,C
Ismail Ogama,Uganda,800595514,44.1,Stub
Kassiano Wadri,Uganda,800595577,44.1,Stub
Abraham Waligo,Uganda,800900766,44.1,Stub
Rebecca Kadaga,Uganda,800965489,44.1,Start
Emma Boona,Uganda,801577218,44.1,C
Augustine Nshimye,Uganda,801836959,44.1,Start
Ibrahim Ssemujju Nganda,Uganda,801874546,44.1,Start
Paulo Muwanga,Uganda,802211455,44.1,Start
Christopher Kibanzanga,Uganda,802286792,44.1,Start
Ezekiel Tenywa Wako of Busoga,Uganda,802517620,44.1,Stub
Robert Kyagulanyi Ssentamu,Uganda,802822017,44.1,C
Mariam Najjemba,Uganda,802972400,44.1,Start
Bernadette Olowo,Uganda,803360897,44.1,Stub
Monica Azuba Ntege,Uganda,803417110,44.1,Start
Benna Namugwanya,Uganda,804317144,44.1,Start
Dorothy Hyuha,Uganda,804643751,44.1,Start
Sam Cheptoris,Uganda,804781815,44.1,Start
Betty Oyella Bigombe,Uganda,804829931,44.1,C
Muwenda Mutebi II of Buganda,Uganda,804856220,44.1,C
Nabilah Naggayi Sempala,Uganda,804883827,44.1,Start
Charles Mayiga,Uganda,804903944,44.1,Start
Muteesa I of Buganda,Uganda,805179937,44.1,Start
Mwanga II of Buganda,Uganda,805289323,44.1,C
Idi Amin,Uganda,805328243,44.1,B
Irene Muloni,Uganda,805393764,44.1,Start
Gershom Sizomu,Uganda,805409966,44.1,Start
Specioza Kazibwe,Uganda,805435381,44.1,Start
Janet Museveni,Uganda,805463795,44.1,C
Evelyn Anite,Uganda,805660978,44.1,C
Betty Amongi,Uganda,805668648,44.1,Start
Cecilia Ogwal,Uganda,805668810,44.1,Start
Doreen Amule,Uganda,805678630,44.1,Start
Muhammad Nsereko,Uganda,806171535,44.1,Start
Betty Nambooze,Uganda,806171836,44.1,Start
Barbara Nekesa Oundo,Uganda,806276711,44.1,Start
Oliver Wonekha,Uganda,806276835,44.1,Start
Margaret Zziwa,Uganda,806337809,44.1,Start
Mutesa II of Buganda,Uganda,806741960,44.1,C
Ignatius K. Musaazi,Uganda,807146511,44.1,C
Princess Elizabeth Nantale Mulondo,Uganda,807467793,44.1,Start
Template:Namibia-politician-stub,Namibia,391862409,2.5,Stub
Template:Namibia-mayor-stub,Namibia,444756008,2.5,Stub
Karlous Marx Shinohamba,Namibia,706945392,2.5,Stub
Dawid Bezuidenhout,Namibia,714705477,2.5,Stub
Gabes Shihepo,Namibia,714887791,2.5,Start
Themistokles Dudu Murorua,Namibia,715035025,2.5,Stub
Johannes Nakwafila,Namibia,715168821,2.5,Stub
Kaire Mbuende,Namibia,715193056,2.5,Stub
Jhonny Haikella Hakaye,Namibia,715558961,2.5,Stub
Rihupisa Justus Kandando,Namibia,715716890,2.5,Stub
Sebastian Ignatius ǃGobs,Namibia,715737685,2.5,Stub
Hans Booys,Namibia,716991969,2.5,Stub
Isak Katali,Namibia,717212350,2.5,Stub
Paulus Kapia,Namibia,717631584,2.5,Stub
Johannes Isaaks,Namibia,717961259,2.5,Stub
Usko Nghaamwa,Namibia,719244071,2.5,Stub
Nangolo Ithete,Namibia,719408472,2.5,Stub
Solomon Witbooi,Namibia,719434480,2.5,Stub
Willem Appollus,Namibia,719595059,2.5,Stub
Reggie Diergaardt,Namibia,719824825,2.5,Stub
Hadino Hishongwa,Namibia,719949040,2.5,Stub
Erastus Tjejamba,Namibia,720139575,2.5,Stub
Gottlob Mbaukua,Namibia,720139591,2.5,Stub
Ambrosius Haingura,Namibia,721140900,2.5,Stub
John Shaetonhodi,Namibia,721902067,2.5,Stub
